kepid,kepoi_name,kepler_name,koi_disposition,adopted_Teff,adopted_Teff_err,adopted_Teff_provenance,Prot,Prot_err,Prot_provenance,li_eagles_LiEW,li_eagles_eLiEW,gyro_median,gyro_+1sigma,gyro_-1sigma,li_median,li_+1sigma,li_-1sigma,adopted_rp,adopted_rp_provenance,adopted_period,flag_gyro_quality,flag_planet_quality,has_hires,t_gyro,t_li,are_gyro_and_li_consistent
5906694,K04069.01,Kepler-1938 b,CONFIRMED,4617,82,2020AJ....159..280B,7.82,0.08,2019ApJS..244...21S,6,16,152,112,42,,,,1.47,2022AJ....163..179P,13.06,1088,0,1,$152^{+112}_{-42}$,$> 208$,Yes
6779260,K02678.01,Kepler-1313 b,CONFIRMED,5236,85,2020AJ....159..280B,6.13,0.06,2021ApJS..255...17S,142,3,197,112,91,174,96,72,1.71,2022AJ....163..179P,3.83,1024,4,1,$197^{+112}_{-91}$,$174^{+96}_{-72}$,Yes
5644412,K04194.01,Kepler-1565 b,CONFIRMED,4958,96,2020AJ....159..280B,7.40,0.07,2019ApJS..244...21S,133,7,230,111,85,174,81,72,1.27,2020AJ....160..108B,1.54,0,0,1,$230^{+111}_{-85}$,$174^{+81}_{-72}$,Yes
2581554,K03835.01,Kepler-1521 b,CONFIRMED,4806,80,2020AJ....159..280B,7.82,0.08,2019ApJS..244...21S,117,5,207,98,68,176,79,69,2.3,2022AJ....163..179P,47.15,1024,0,1,$207^{+98}_{-68}$,$176^{+79}_{-69}$,Yes
5526527,K01838.01,Kepler-970 b,CONFIRMED,4314,73,2020AJ....159..280B,9.23,0.09,2019ApJS..244...21S,36,14,177,124,39,,,,2.15,2022AJ....163..179P,16.74,0,4,1,$177^{+124}_{-39}$,$> 92$,Yes
11554435,K00063.01,Kepler-63 b,CONFIRMED,5486,82,2020AJ....159..280B,5.49,0.05,2018MNRAS.474.2094A,89,4,223,98,92,542,475,256,5.64,2022AJ....163..179P,9.43,2048,0,1,$223^{+98}_{-92}$,$542^{+475}_{-256}$,Yes
3859079,K01199.01,Kepler-786 b,CONFIRMED,4680,76,2020AJ....159..280B,33.06,1.05,2019ApJS..244...21S,83,6,,,,228,168,87,2.31,2022AJ....163..179P,53.53,0,0,1,$> 4000$,$228^{+168}_{-87}$,No
9031209,K03316.01,Kepler-1467 b,CONFIRMED,5252,100,2020AJ....159..280B,6.31,0.06,2021ApJS..255...17S,122,6,230,112,98,236,151,95,3.11,2020AJ....160..108B,47.06,64,0,1,$230^{+112}_{-98}$,$236^{+151}_{-95}$,Yes
10272640,K01074.01,Kepler-762 b,CONFIRMED,5921,115,2020AJ....159..280B,4.010,0.040,SantosPrivComm,-27,25,244,113,100,,,,15.19,2020AJ....160..108B,3.77,512,0,1,$244^{+113}_{-100}$,$> 548$,Maybe
5856571,K01839.01,Kepler-971 b,CONFIRMED,5447,89,2020AJ....159..280B,6.22,0.06,2021ApJS..255...17S,105,6,306,95,115,366,290,164,3.93,10.26133/NEA4,9.59,128,0,1,$306^{+95}_{-115}$,$366^{+290}_{-164}$,Yes
11853878,K01833.01,Kepler-968 b,CONFIRMED,4413,75,2020AJ....159..280B,10.46,0.10,2019ApJS..244...21S,10,18,328,108,87,,,,1.85,2022AJ....163..179P,3.69,0,0,1,$328^{+108}_{-87}$,$> 159$,Yes
11853878,K01833.03,Kepler-968 c,CONFIRMED,4413,75,2020AJ....159..280B,10.46,0.10,2019ApJS..244...21S,10,18,328,108,87,,,,1.63,2022AJ....163..179P,5.71,0,0,1,$328^{+108}_{-87}$,$> 159$,Yes
11853878,K01833.02,Kepler-968 d,CONFIRMED,4413,75,2020AJ....159..280B,10.46,0.10,2019ApJS..244...21S,10,18,328,108,87,,,,2.28,2022AJ....163..179P,7.68,0,4,1,$328^{+108}_{-87}$,$> 159$,Yes
5794570,K02675.01,Kepler-1312 b,CONFIRMED,5584,87,2020AJ....159..280B,6.13,0.06,2018MNRAS.474.2094A,86,4,357,75,109,642,617,318,2.07,2022AJ....163..179P,5.45,2112,0,1,$357^{+75}_{-109}$,$642^{+617}_{-318}$,Yes
5794570,K02675.02,Kepler-1312 c,CONFIRMED,5584,87,2020AJ....159..280B,6.13,0.06,2018MNRAS.474.2094A,86,4,357,75,109,642,617,318,0.94,2022AJ....163..179P,1.12,2112,0,1,$357^{+75}_{-109}$,$642^{+617}_{-318}$,Yes
11754553,K00775.02,Kepler-52 b,CONFIRMED,4164,62,2020AJ....159..280B,11.85,0.12,2019ApJS..244...21S,22,18,359,200,96,,,,2.19,2022AJ....163..179P,7.88,0,0,1,$359^{+200}_{-96}$,$> 100$,Yes
11754553,K00775.01,Kepler-52 c,CONFIRMED,4164,62,2020AJ....159..280B,11.85,0.12,2019ApJS..244...21S,22,18,359,200,96,,,,2.04,2022AJ....163..179P,16.38,0,0,1,$359^{+200}_{-96}$,$> 100$,Yes
11754553,K00775.03,Kepler-52 d,CONFIRMED,4164,62,2020AJ....159..280B,11.85,0.12,2019ApJS..244...21S,22,18,359,200,96,,,,2.03,2022AJ....163..179P,36.45,0,0,1,$359^{+200}_{-96}$,$> 100$,Yes
4814502,K04004.01,Kepler-1933 b,CONFIRMED,5576,90,2020AJ....159..280B,6.21,0.06,2021ApJS..255...17S,85,3,366,74,109,642,603,318,1.01,2022AJ....163..179P,4.94,0,4,1,$366^{+74}_{-109}$,$642^{+603}_{-318}$,Yes
8261920,K02174.03,Kepler-1802 b,CONFIRMED,4245,85,2019ApJS..244...21S,11.45,0.11,2019ApJS..244...21S,,,378,198,109,,,,1.71,10.26133/NEA4,7.73,884,4,0,$378^{+198}_{-109}$,--,--
8261920,K02174.02,Kepler-1802 c,CONFIRMED,4245,85,2019ApJS..244...21S,11.45,0.11,2019ApJS..244...21S,,,378,198,109,,,,2.05,10.26133/NEA4,33.14,884,0,0,$378^{+198}_{-109}$,--,--
5895158,K03935.01,Kepler-1532 b,CONFIRMED,5554,97,2020AJ....159..280B,6.48,0.06,2021ApJS..255...17S,90,6,397,71,102,567,545,278,1.26,2020AJ....160..108B,1.09,0,0,1,$397^{+71}_{-102}$,$567^{+545}_{-278}$,Yes
5088591,K01801.01,Kepler-955 b,CONFIRMED,5221,92,2020AJ....159..280B,7.50,0.07,2021ApJS..255...17S,79,4,397,99,131,536,481,237,2.69,2020AJ....160..108B,14.53,0,0,1,$397^{+99}_{-131}$,$536^{+481}_{-237}$,Yes
11017901,K01800.01,Kepler-447 b,CONFIRMED,5648,89,2020AJ....159..280B,6.40,0.06,2021ApJS..255...17S,103,3,420,64,78,405,355,203,18.494818206048823,2022AJ....163..179P,7.79,1024,4,1,$420^{+64}_{-78}$,$405^{+355}_{-203}$,Yes
11657614,K03370.02,Kepler-1481 b,CONFIRMED,4832,84,2020AJ....159..280B,9.11,0.09,2019ApJS..244...21S,22,7,407,126,118,,,,1.09,2022AJ....163..179P,5.94,0,0,1,$407^{+126}_{-118}$,$> 210$,Yes
5881120,K04156.01,Kepler-1943 b,CONFIRMED,6002,118,2020AJ....159..280B,nan,nan,,99,5,,,,409,520,254,1.29,2022AJ....163..179P,4.85,518,4,1,--,$409^{+520}_{-254}$,No
5640085,K00448.01,Kepler-159 b,CONFIRMED,4511,81,2020AJ....159..280B,10.50,0.10,2015ApJ...801....3M,19,10,415,159,110,,,,2.3,2022AJ....163..179P,10.14,2048,0,1,$415^{+159}_{-110}$,$> 161$,Yes
5640085,K00448.02,Kepler-159 c,CONFIRMED,4511,81,2020AJ....159..280B,10.50,0.10,2015ApJ...801....3M,19,10,415,159,110,,,,2.75,2020AJ....160..108B,43.59,2048,0,1,$415^{+159}_{-110}$,$> 161$,Yes
10905239,K00046.01,Kepler-101 b,CONFIRMED,5498,114,2020AJ....159..280B,nan,nan,,100,5,,,,419,349,196,5.9,2022AJ....163..179P,3.49,518,0,1,--,$419^{+349}_{-196}$,No
7838675,K04169.01,Kepler-1561 b,CONFIRMED,5742,105,2020AJ....159..280B,6.18,0.06,2021ApJS..255...17S,66,3,426,74,78,1409,1718,788,0.94,2020AJ....160..108B,1.01,1024,0,1,$426^{+74}_{-78}$,$1409^{+1718}_{-788}$,Maybe
5175986,K02708.01,Kepler-1320 b,CONFIRMED,4536,81,2020AJ....159..280B,10.46,0.10,2019ApJS..244...21S,25,32,429,172,113,,,,1.39,2020AJ....160..108B,0.87,0,0,1,$429^{+172}_{-113}$,$> 140$,Yes
